analysis_split,freshness_bin,geometry_dimension,geometry_level,metric,n,median,p90
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,60265,abs_delta_k_orbit_hz_per_s,12,2.334783233680908,3.0975948823740227
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,65405,raw_rms_hz,12,320.4981564383736,662.0600749100598
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,65405,score_orbit_hz,12,10.92663374421008,51.73411898739999
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,65405,abs_delta_k_orbit_hz_per_s,12,2.176948376902194,5.5232334234801534
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,65407,raw_rms_hz,12,162.1727675767774,636.6683475378043
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,65407,score_orbit_hz,12,6.947088961035462,49.41018389712929
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,65407,abs_delta_k_orbit_hz_per_s,12,1.6880665423566241,2.5585599232577336
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,65409,raw_rms_hz,12,260.95724443841993,915.642934450464
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,65409,score_orbit_hz,12,9.878666241878655,71.20845780267484
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,65409,abs_delta_k_orbit_hz_per_s,12,2.8038991863547285,4.216973193081396
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,65410,raw_rms_hz,12,552.3366243867413,1417.8813475041857
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,65410,score_orbit_hz,12,11.028663111007948,72.36115951870157
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,65410,abs_delta_k_orbit_hz_per_s,12,2.5246897357535207,22.297680449977513
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,65411,raw_rms_hz,12,78.24419774936844,457.123414456734
