satellite_norad_id,month,freshness_bin,satellite_name,analysis_role,segment_units,selected_passes,min_age_h,median_age_h,max_age_h,support_status
47844,2026-04,12-18 h,STARLINK-2446,EXPLORATORY,6,2,12.846868160000001,13.694090382222223,14.541034826666667,AVAILABLE
47844,2026-04,18-24 h,STARLINK-2446,EXPLORATORY,6,2,19.21244616,19.26971990222222,19.321438088888886,AVAILABLE
47844,2026-04,24-36 h,STARLINK-2446,EXPLORATORY,6,2,25.313136382222222,26.10106008,26.935650444444445,AVAILABLE
47844,2026-05,0-6 h,STARLINK-2446,EXPLORATORY,6,2,5.004780293333333,5.037851751111111,5.071200986666667,AVAILABLE
47844,2026-05,6-9 h,STARLINK-2446,EXPLORATORY,6,2,6.6746172,7.520311644444445,8.358783866666666,AVAILABLE
47844,2026-05,9-12 h,STARLINK-2446,EXPLORATORY,6,2,9.639795066666666,10.458961733333332,11.305906177777777,AVAILABLE
47844,2026-05,12-18 h,STARLINK-2446,EXPLORATORY,6,2,12.773219822222222,12.836646333333332,12.93673951111111,AVAILABLE
47844,2026-05,18-24 h,STARLINK-2446,EXPLORATORY,6,2,19.181272817777778,19.254468542222224,19.321830933333334,AVAILABLE
47844,2026-05,24-36 h,STARLINK-2446,EXPLORATORY,6,2,25.306937573333332,26.12721535111111,26.974715351111108,AVAILABLE
47844,2026-06,0-6 h,STARLINK-2446,CONFIRMATORY,6,2,2.064956862222222,2.7552711866666666,3.463363288888889,AVAILABLE
47844,2026-06,6-9 h,STARLINK-2446,CONFIRMATORY,6,2,6.663641066666667,7.509057733333334,8.349196622222223,AVAILABLE
47844,2026-06,9-12 h,STARLINK-2446,CONFIRMATORY,3,1,9.91020696,9.92409584888889,9.93770696,AVAILABLE
47844,2026-06,12-18 h,STARLINK-2446,CONFIRMATORY,6,2,15.904343493333332,16.733926826666668,17.57962127111111,AVAILABLE
47844,2026-06,18-24 h,STARLINK-2446,CONFIRMATORY,6,2,19.039956862222223,19.872179084444447,20.71773464,AVAILABLE
47844,2026-06,24-36 h,STARLINK-2446,CONFIRMATORY,6,2,24.466944400000003,25.30166662222222,26.147222177777778,AVAILABLE
65407,2026-04,0-6 h,STARLINK-35035,EXPLORATORY,6,2,3.4082542222222223,4.2487769377777775,5.092077431111111,AVAILABLE
